Round,Team1,Team1-Fanpoints,Team1-Score,Team2,Team2-Fanpoints,Team2-Score
1,SecondDose,1343,3,Chicago T20,607,0
1,Kill Killi,1209,2,Royapuram,795,0
1,Marauders,1353,2,Papampatti,1126,0
1,PK11,1050,3,IPL-T20-21,315,0
1,I'm in,499,2,Bhagavath,0,0
1,Daddy Munnetra Kalagam,1213,2,Dummy,0,0
2,Daddy Munnetra Kalagam,1566,2,Chicago T20,1085,0
2,Dummy,0,0,Bhagavath,0,0
2,PK11,1757,2,I'm in,993,0
2,Marauders,2035,2,IPL-T20-21,1022,0
2,Papampatti,1505,3,Royapuram,639,0
2,Kill Killi,1733,2,SecondDose,1066,0
